,id,profile_image_url,url,public_metrics,username,protected,name,description,pinned_tweet_id,location,verified,entities
11,856231868051705856,https://pbs.twimg.com/profile_images/1178295331085312003/uxoTLj4B_normal.jpg,,"{'followers_count': 35, 'following_count': 58, 'tweet_count': 2050, 'listed_count': 0}",sofialily440,False,Sofia,"Hi! I don't tweet a lot, mostly retweet. I might also post art from time to time. She/Her - 20 - Icon by @Falthiere",,"Barcelona, España",False,"{'description': {'mentions': [{'start': 105, 'end': 115, 'username': 'Falthiere'}]}}"
12,4062558973,https://pbs.twimg.com/profile_images/1462241523983130637/AVkx89H0_normal.jpg,,"{'followers_count': 78, 'following_count': 487, 'tweet_count': 9030, 'listed_count': 0}",airwick150,False,Eric 💗💜💙,29. He/him. Transplant PharmD. Tired. Georgia Bulldog.,929202159329169408,"Winston-Salem, NC",False,
13,1536665371,https://pbs.twimg.com/profile_images/378800000056221800/b040850d740029566acb80a9c92a0639_normal.jpeg,,"{'followers_count': 16, 'following_count': 204, 'tweet_count': 544, 'listed_count': 0}",nancysparrow62,False,Nancy Sparrow 🇨🇦,Born and raised 🇨🇦,,"Toronto, Ontario",False,
14,368287764,https://pbs.twimg.com/profile_images/1272315845767659521/xmjlvO1R_normal.jpg,https://t.co/FJJH0p9l78,"{'followers_count': 1358, 'following_count': 1168, 'tweet_count': 79338, 'listed_count': 18}",meganetoku1,False,てんぷら,ポケカ女子ですよろしくお願いします！ アイコンとヘッダーはラテさん( @rate1026 )が描いてくれました！ありがとうございます！,1418057996119142402,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/FJJH0p9l78', 'expanded_url': 'https://www.instagram.com/toku_kubota', 'display_url': 'instagram.com/toku_kubota'}]}, 'description': {'mentions': [{'start': 35, 'end': 44, 'username': 'rate1026'}]}}"
15,819977670,https://pbs.twimg.com/profile_images/1511010240417906692/q0zd6grb_normal.jpg,https://t.co/r29uu3UNhP,"{'followers_count': 4296, 'following_count': 991, 'tweet_count': 411873, 'listed_count': 43}",PVRISEXUAL,False,mara,"call the twenty first century, tell her give us a break.",1483919329892651015,she/her | 20 | pl | 🏳️‍🌈 |,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/r29uu3UNhP', 'expanded_url': 'https://abortion-in-poland.carrd.co/', 'display_url': 'abortion-in-poland.carrd.co'}]}}"
16,836618808676741120,https://pbs.twimg.com/profile_images/863364617325641729/QTBrfRjo_normal.jpg,,"{'followers_count': 2, 'following_count': 133, 'tweet_count': 2824, 'listed_count': 0}",SibloThomas,False,sribbies 🇺🇦,"Yankees, Steelers, Stones, Porsche, foodie especially Italian, wife is BF and all family is important",,"Staten Island, NY",False,
17,1297429651749392384,https://pbs.twimg.com/profile_images/1297430515671117825/Okyp7TV9_normal.jpg,,"{'followers_count': 6, 'following_count': 51, 'tweet_count': 272, 'listed_count': 1}",odradek_sorge,False,ソレジャネーツィン（ ロシアのウクライナ侵攻に抗議する）,分子生物学 その他もろもろ 世の中知らないことが多い 世の中面白いことが多い 世の中難しいことが多い,,,False,
18,296854805,https://pbs.twimg.com/profile_images/1483967931973349379/9dTXRM-L_normal.jpg,,"{'followers_count': 145, 'following_count': 1081, 'tweet_count': 27514, 'listed_count': 1}",OlgaCLBardawil,False,Olga C L Bardawil🇧🇷🇪🇸🇱🇧🇺🇾,Journalism defines me.,1507329302634844160,,False,
19,1352952679811563522,https://pbs.twimg.com/profile_images/1459517300160491520/WRTmlQb8_normal.jpg,,"{'followers_count': 742, 'following_count': 308, 'tweet_count': 7944, 'listed_count': 6}",natta_chuju,False,なっ太さん2024S,頑張れない母_(:3 」∠)_ /αじゃないよベットだよ/新4年からS/ゆったり私立小/VCI 155、PSI 96、診断なし/自身も中受経験あり/趣味は事故採点/カルディとサイゼ/誤字脱字多い/2024Sとgifted関連の方中心にフォロー/プロフィールなし、RTのみの方はブロ解させていただきます。ご了承下さい。,,,False,
20,558590965,https://pbs.twimg.com/profile_images/1210269062137167872/MC2OAW4__normal.jpg,,"{'followers_count': 394, 'following_count': 294, 'tweet_count': 92534, 'listed_count': 0}",epakdilligaf,False,püpü,aq ص,1408629185921253378,,False,
21,1052904350,https://pbs.twimg.com/profile_images/1377583529912066048/WTQ-aR9O_normal.jpg,,"{'followers_count': 546, 'following_count': 835, 'tweet_count': 16188, 'listed_count': 16}",ToothTakei,False,Todd Takei,"Loves finding craft breweries and distilleries. May be cranky. #TKLittles

I do not care about your political opinions.",1320456018531418114,Kentucky,False,"{'description': {'hashtags': [{'start': 63, 'end': 73, 'tag': 'TKLittles'}]}}"
22,949764438,https://pbs.twimg.com/profile_images/1491164614465404939/6jqJB2qd_normal.jpg,,"{'followers_count': 1753, 'following_count': 1555, 'tweet_count': 10049, 'listed_count': 47}",RickSchindler,False,Rick Schindler,"Award-winning headline writer, obscure novelist.",,,False,
23,113319711,https://pbs.twimg.com/profile_images/1418916695704485898/ztoVWvJn_normal.jpg,https://t.co/I34UI0Wpfw,"{'followers_count': 175, 'following_count': 366, 'tweet_count': 35649, 'listed_count': 0}",ygkr,False,ヤゴコロコージ(7.62×39仕様),人呼んで「オーストリアのキダタロー」,,DUKEバーガー,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/I34UI0Wpfw', 'expanded_url': 'http://ygkr.tumblr.com/', 'display_url': 'ygkr.tumblr.com'}]}}"
24,72992120,https://pbs.twimg.com/profile_images/933377215395278848/j8qsk8Fx_normal.jpg,,"{'followers_count': 12, 'following_count': 93, 'tweet_count': 2010, 'listed_count': 1}",yopit,False,よぴ,,,,False,
25,119293940,https://pbs.twimg.com/profile_images/729380461/___2_normal.jpg,,"{'followers_count': 95, 'following_count': 205, 'tweet_count': 13222, 'listed_count': 1}",micron145,False,たてミクよこマク,よこマク化、爆進こそ免れたがじわじわと進んでいる。社内ダイエット企画に参加中。特に何もしていないまま健康診断を終えてしまった。,781105575614480385,TOYONAKA,False,
26,1007911909838868480,https://pbs.twimg.com/profile_images/1101897919181942784/Nz04Vo3g_normal.jpg,,"{'followers_count': 518, 'following_count': 771, 'tweet_count': 8166, 'listed_count': 1}",longicyland,False,Longicyland,人縛靈,,,False,
27,899420411045093376,https://pbs.twimg.com/profile_images/1521895180302835713/_mT_kYNB_normal.jpg,,"{'followers_count': 3818, 'following_count': 3815, 'tweet_count': 93287, 'listed_count': 6}",Hobie_SHRED,False,🇺🇦🌊SHRED🌊 🇺🇦,"Vote like your life depends on it whether or not Trump is ever indicted.

#VoteBlueToSaveDemocracy",1517018003916922880,"Encinitas, CA",False,"{'description': {'hashtags': [{'start': 74, 'end': 98, 'tag': 'VoteBlueToSaveDemocracy'}]}}"
28,30836569,https://pbs.twimg.com/profile_images/1053113549097037824/w95Gjnbc_normal.jpg,,"{'followers_count': 76, 'following_count': 152, 'tweet_count': 2176, 'listed_count': 4}",pawlhd,False,Paul D,UC Berkeley and CSU Long Beach alumnus. Teach. Eat. Sleep.,,"Westminster, CA",False,
29,137285536,https://pbs.twimg.com/profile_images/2490989890/ayoal951iyhlaa7w1155_normal.jpeg,,"{'followers_count': 16, 'following_count': 51, 'tweet_count': 140, 'listed_count': 1}",roshike,False,Kishore Subramanian,,,"Bengaluru South, India",False,
30,23269841,https://pbs.twimg.com/profile_images/801899226439491584/xlr4ao4h_normal.jpg,,"{'followers_count': 128, 'following_count': 229, 'tweet_count': 83938, 'listed_count': 1}",THORACS,False,Domonic,newer and improveder,1462322650068496385,,False,
31,3474915914,https://pbs.twimg.com/profile_images/1509911440853188608/fkRq8o2x_normal.jpg,,"{'followers_count': 1041, 'following_count': 697, 'tweet_count': 111963, 'listed_count': 7}",H_H_H_H_H_H_H_7,False,하세🏳️‍⚧️,글쇠를 두드리다가 파란 막대기를 쳐다보다가 빨간 글씨를 읽는 일을 합니다. 헤더는 전기양님 @sheeptheorem. 🏳️‍🌈🏳️‍⚧️ they/them,1450506087388438529,,False,"{'description': {'mentions': [{'start': 51, 'end': 64, 'username': 'sheeptheorem'}]}}"
32,221318554,https://pbs.twimg.com/profile_images/1491701079326834688/DFqgqktI_normal.jpg,,"{'followers_count': 39, 'following_count': 119, 'tweet_count': 338, 'listed_count': 1}",JorgeMonleon,False,Jorge T. Monleón,"Cervecero casero, padre de gatetes y de vez en cuando programador.",,Madrid,False,
33,7913222,https://pbs.twimg.com/profile_images/1497709472701030401/bfrM1OSL_normal.jpg,,"{'followers_count': 613, 'following_count': 948, 'tweet_count': 21682, 'listed_count': 31}",lakelady,False,Civilization is an illusion 🇺🇦#SlavaUkraini🇺🇦,"blah, blah, blah, witty remark, blah, blah, insightful comment, blah, blah, blah.",1161369728419540992,the aisle of imagination,False,
34,260500079,https://pbs.twimg.com/profile_images/1279219601/grad_1_normal.JPG,,"{'followers_count': 245, 'following_count': 608, 'tweet_count': 38594, 'listed_count': 6}",JamesAMcGhee,False,James,Voting is good.,755214563646251009,New Jersey,False,
35,27309870,https://pbs.twimg.com/profile_images/1498418989541830658/NId8_Mt7_normal.jpg,https://t.co/qgY1eEZp4M,"{'followers_count': 151, 'following_count': 464, 'tweet_count': 1497, 'listed_count': 6}",iMatt79,False,M. Gonya 🎨🙏❤️,I'm an artist who hails from the Midwest. When overcoming laziness I enjoy creating art. I am also an illustrator and cartoonist. Live simple. Love life. 🙏,,"Kenosha, WI",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qgY1eEZp4M', 'expanded_url': 'https://www.youtube.com/user/MrMatt5579', 'display_url': 'youtube.com/user/MrMatt5579'}]}}"
